name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Grand Rapids, Michigan",2015-08-13,82.6,61.3,71.8,83.5,61.3,72,60.7,69.3,0,0,0,,0,0,27.3,20,235.7,1017.8,57.4,9.9,,,,,2015-08-13T06:46:09,2015-08-13T20:48:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2015-08-14,84.5,70.3,76.6,90.9,70.3,77.9,68.5,76.6,0.023,100,12.5,rain,0,0,29.8,13.2,233.4,1017.6,84.5,9.6,,,,,2015-08-14T06:47:14,2015-08-14T20:46:45,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2015-08-15,87,62.9,74.3,89.5,62.9,75.2,65.9,77.3,0.01,100,4.17,rain,0,0,,8.7,198.3,1019.3,34.4,9,,,,,2015-08-15T06:48:19,2015-08-15T20:45:16,0.03,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2015-08-16,88,69.1,77.5,91.7,69.1,78.6,67.9,74.7,0,0,0,,0,0,19.7,15.1,223.5,1018.4,34.3,8.9,,,,,2015-08-16T06:49:25,2015-08-16T20:43:47,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2015-08-17,86.3,69.9,76.8,89.7,69.9,77.9,67.5,74.5,0,0,0,,0,0,17.2,13.5,215.8,1016.5,42.4,8.8,,,,,2015-08-17T06:50:30,2015-08-17T20:42:16,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2015-08-18,78.6,65.9,71.6,78.6,65.9,71.6,67.5,87.3,0.369,100,33.33,rain,0,0,37.8,9.3,165.5,1011.8,77.3,8.2,,,,,2015-08-18T06:51:35,2015-08-18T20:40:44,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-13,81.8,70.9,75.9,86.1,70.9,76.4,70.6,84.3,0.845,100,50,rain,0,0,25.3,16.6,240.4,1008.5,85.3,7.9,,,,,2016-08-13T06:46:59,2016-08-13T20:47:07,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-14,82.7,66.9,73.9,83.9,66.9,74.1,65,75.8,0,0,0,,0,0,,9.8,257.1,1015.9,65.2,7.9,,,,,2016-08-14T06:48:04,2016-08-14T20:45:39,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-15,80,62.8,71.1,80.8,62.8,71.2,64.2,80.3,0.144,100,16.67,rain,0,0,21.9,10.9,116.4,1019.3,69.1,8.8,,,,,2016-08-15T06:49:09,2016-08-15T20:44:09,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-16,82.7,69.1,74.5,84.8,69.1,74.9,66.3,77,2.061,100,37.5,rain,0,0,25.3,15,324.3,1015.2,77.4,8.3,,,,,2016-08-16T06:50:15,2016-08-16T20:42:39,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-17,81.9,65.9,73.6,84.7,65.9,73.8,65.6,77.4,0.158,100,8.33,rain,0,0,31.7,22,252.4,1017.6,45.4,9,,,,,2016-08-17T06:51:20,2016-08-17T20:41:07,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2016-08-18,82.9,61.2,72.9,85.3,61.2,73.5,64.8,77.2,0,0,0,,0,0,,10.5,175.4,1017.3,46.8,9.2,,,,,2016-08-18T06:52:25,2016-08-18T20:39:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-13,78.6,54.6,67.5,78.6,54.6,67.5,54.7,66,0,0,0,,0,0,,7,314.7,1017.5,42.3,9.9,,,,,2017-08-13T06:46:43,2017-08-13T20:47:28,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-14,81.7,62.6,71.5,81.7,62.6,71.5,60.4,70.3,0,0,0,,0,0,,10,217.5,1012.5,53.1,9.9,,,,,2017-08-14T06:47:48,2017-08-14T20:46:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-15,81.7,64.1,71.9,82,64.1,71.9,61.9,73.5,0.027,100,12.5,rain,0,0,,8.9,19.2,1012.2,68.9,9,,,,,2017-08-15T06:48:53,2017-08-15T20:44:31,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-16,87.1,60.9,74.2,86.7,60.9,74.5,62.7,70.6,0,0,0,,0,0,,9.8,127.1,1015.4,43.4,9.8,,,,,2017-08-16T06:49:58,2017-08-16T20:43:01,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-17,81.7,68.2,74.6,85.9,68.2,75.1,68.7,82.7,0.336,100,45.83,rain,0,0,30.5,21.4,197.5,1008,77.8,8.6,,,,,2017-08-17T06:51:04,2017-08-17T20:41:29,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2017-08-18,71.9,64.1,69.1,71.9,64.1,69.1,62.5,79.9,0,0,0,,0,0,25.5,17.8,260.2,1008.2,77.1,9.7,,,,,2017-08-18T06:52:09,2017-08-18T20:39:57,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,KGRR"
"Grand Rapids, Michigan",2018-08-13,86.6,64.3,75,87.6,64.3,75.4,63,69.1,0,0,0,,0,0,,9.4,215.4,1018.1,23.6,9.1,133.6,11.8,5,,2018-08-13T06:46:28,2018-08-13T20:47:50,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2018-08-14,89.1,61.3,75.4,90.5,61.3,76.2,64.1,70.8,0,0,0,,0,0,23.6,16.2,246.3,1014.9,34.4,8.4,153.5,13.1,6,,2018-08-14T06:47:33,2018-08-14T20:46:22,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2018-08-15,87.3,66.8,76.5,88,66.8,77.4,66.7,74.3,0.143,100,4.17,rain,0,0,,10.9,183.2,1014.4,67.8,8.7,131.8,11.4,6,,2018-08-15T06:48:38,2018-08-15T20:44:53,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2018-08-16,82.5,66.6,74.6,85.9,66.6,75.4,68.8,83.2,0.407,100,4.17,rain,0,0,,7.7,134.4,1014.1,72.6,8.8,110.6,9.7,6,,2018-08-16T06:49:43,2018-08-16T20:43:23,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2018-08-17,76.9,68.1,72.7,76.9,68.1,72.7,70.4,92.8,0.043,100,16.67,rain,0,0,,8.4,23.8,1013.8,79.3,6.3,45.9,4,1,,2018-08-17T06:50:48,2018-08-17T20:41:52,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2018-08-18,83.4,66.5,74.1,85.3,66.5,74.5,66.7,79.4,0,0,0,,0,0,,6,19.8,1015.2,54.8,8.8,127.4,10.9,5,,2018-08-18T06:51:53,2018-08-18T20:40:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2019-08-13,84.5,70.9,76.2,84.3,70.9,76.1,59.8,59.3,0,0,0,,0,0,,12.6,44.2,1009.7,63.2,9.9,140.2,12.1,7,,2019-08-13T06:46:12,2019-08-13T20:48:12,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2019-08-14,79.8,63,70.7,79.8,63,70.7,56.1,61.1,0,0,0,,0,0,19.7,15.4,64.7,1013.9,71.7,9.9,104,8.9,7,,2019-08-14T06:47:17,2019-08-14T20:46:44,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2019-08-15,72,60.2,65.3,72,60.2,65.3,58.1,78.1,0.561,100,33.33,rain,0,0,19.7,13,37.8,1015.5,69.2,9.3,68.3,6,5,,2019-08-15T06:48:23,2019-08-15T20:45:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2019-08-16,81.9,56.2,68,81.8,56.2,68,58.9,75.5,0,0,0,,0,0,19.7,11.9,158.9,1014,62.2,6.7,134.9,11.6,8,,2019-08-16T06:49:28,2019-08-16T20:43:46,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,C1502,KGRR"
"Grand Rapids, Michigan",2019-08-17,84.5,63.8,74.6,83.8,63.8,74.5,61.3,65.9,0.466,100,8.33,rain,0,0,19.6,13.4,243.7,1012.1,41.7,9.5,155.6,13.3,8,,2019-08-17T06:50:33,2019-08-17T20:42:15,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,C1502,KGRR"
"Grand Rapids, Michigan",2019-08-18,82.8,66,72.3,85.5,66,72.5,66,81.6,0.24,100,25,rain,0,0,30.5,19.2,208.6,1010.7,51.2,8.8,99.6,8.6,7,,2019-08-18T06:51:38,2019-08-18T20:40:43,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
