datetime,tempmax,tempmin,humidity,precip,windspeed,winddir,severerisk,stations
2015-08-13,82.6,61.3,69.3,0.0,20.0,235.7,,"72635094860,KY70,KBIV,72539404839,KGRR"
2015-08-14,84.5,70.3,76.6,0.023,13.2,233.4,,"72635094860,KY70,KBIV,72539404839,KGRR"
2015-08-15,87.0,62.9,77.3,0.01,8.7,198.3,,"72635094860,KY70,KBIV,72539404839,KGRR"
2015-08-16,88.0,69.1,74.7,0.0,15.1,223.5,,"72635094860,KY70,KBIV,72539404839,KGRR"
2015-08-17,86.3,69.9,74.5,0.0,13.5,215.8,,"72635094860,KY70,KBIV,72539404839,KGRR"
2015-08-18,78.6,65.9,87.3,0.369,9.3,165.5,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-13,81.8,70.9,84.3,0.845,16.6,240.4,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-14,82.7,66.9,75.8,0.0,9.8,257.1,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-15,80.0,62.8,80.3,0.144,10.9,116.4,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-16,82.7,69.1,77.0,2.061,15.0,324.3,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-17,81.9,65.9,77.4,0.158,22.0,252.4,,"72635094860,KY70,KBIV,72539404839,KGRR"
2016-08-18,82.9,61.2,77.2,0.0,10.5,175.4,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-13,78.6,54.6,66.0,0.0,7.0,314.7,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-14,81.7,62.6,70.3,0.0,10.0,217.5,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-15,81.7,64.1,73.5,0.027,8.9,19.2,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-16,87.1,60.9,70.6,0.0,9.8,127.1,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-17,81.7,68.2,82.7,0.336,21.4,197.5,,"72635094860,KY70,KBIV,72539404839,KGRR"
2017-08-18,71.9,64.1,79.9,0.0,17.8,260.2,,"72635094860,KY70,KBIV,72539404839,KGRR"
2018-08-13,86.6,64.3,69.1,0.0,9.4,215.4,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2018-08-14,89.1,61.3,70.8,0.0,16.2,246.3,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2018-08-15,87.3,66.8,74.3,0.143,10.9,183.2,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2018-08-16,82.5,66.6,83.2,0.407,7.7,134.4,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2018-08-17,76.9,68.1,92.8,0.043,8.4,23.8,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2018-08-18,83.4,66.5,79.4,0.0,6.0,19.8,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2019-08-13,84.5,70.9,59.3,0.0,12.6,44.2,,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
2019-08-14,79.8,63.0,61.1,0.0,15.4,64.7,,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
2019-08-15,72.0,60.2,78.1,0.561,13.0,37.8,,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
2019-08-16,81.9,56.2,75.5,0.0,11.9,158.9,,"72635094860,KY70,KBIV,72539404839,E7706,C1502,KGRR"
